id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
155557,WB162106,Fettercairn 22 Years Old,38,108,184.2,success,
155558,WB229541,Fettercairn 2014 Warehouse 14 Small Batch 001,48,122,154.2,success,
155593,WB231425,Dalmore 18 Years Old Edition 2023,40,116,190.0,success,
155611,WB18323,Ardbeg 1999 Cask Nr.1924,126,126,0.0,success,
155614,WB166754,Ardbeg 2010 Cask Nr.3150,116,127,9.5,success,
155619,WB166897,Bunnahabhain Bn8 Elements of Islay,109,112,2.8,success,
155622,WB26795,Hibiki 21 Years Old,96,100,4.2,success,
155623,WB79588,Glen Moray 27 Years Old 1988 Jack Wiebers Whisky World,44,111,152.3,success,
155628,WB183775,Old Pulteney 12 Years Old 2008 Signatory Vintage,51,120,135.3,success,
155629,WB116449,Springbank 12 Years Old Cask Strength Batch 17,95,118,24.2,success,
155630,WB233416,Ardbeg 2011 Cask Nr.2447,105,115,9.5,success,
155633,WB262542,Macallan Guardian Oak The Harmony Collection,100,109,9.0,success,
155634,WB217317,Goalong Liquor 5 Years Old ,44,102,131.8,success,
155636,WB181910,Glenallachie 12 Years Old Marsala Wood Finish,99,105,6.1,success,
155638,WB255740,Yamazaki Islay Peated,96,109,13.5,success,
155640,WB111368,Glenallachie 18 Years Old,118,118,0.0,success,
155641,WB192598,Glenallachie 12 Years Old Ruby Port Wood Finish,104,116,11.5,success,
155642,WB75249,Laphroaig Quarter Cask 200 Years Of Laphroaig,146,118,-19.2,success,
155643,WB89391,Glendronach Cask Strength Batch 6,87,105,20.7,success,
155644,WB168571,Ardbeg 2005 Single Cask Nr.1322,93,107,15.1,success,
155646,WB227903,Springbank 27 Years Old Countdown Collection,111,128,15.3,success,
155647,WB75684,John Walker & Sons Private Collection 2016 Edition - Fine Honeyed Notes,97,118,21.6,success,
155648,WB79455,Paddy Irish Whiskey,112,101,-9.8,success,
155649,WB123839,Macallan 617 Squadron Disbandment Edition,112,118,5.4,success,
155650,WB71966,Ardbeg Supernova Sn 2015 Committee Release,113,115,1.8,success,
155652,WB132600,Ardbeg 2003 Feis Ile 2019 Single Cask Nr.2455,111,112,0.9,success,
155653,WB205157,Midleton Very Rare Vintage Release 2022,103,116,12.6,success,
155654,WB102234,Macallan Enigma Quest Collection,108,114,5.6,success,
155655,WB110522,Ben Nevis 50 Years Old 1966 Cask Nr.3645,110,133,20.9,success,
155658,WB59773,Mortlach 18 Years Old,46,113,145.7,success,
155659,WB89009,Jack Daniel's Single Barrel Select,97,104,7.2,success,
155661,WB228524,Ardbeg 2012 Cask Nr.4046,90,110,22.2,success,
155667,WB204971,Aberlour A'bunadh Alba Batch 05,108,118,9.3,success,
155668,WB233247,Ardbeg 2005 Single Cask Nr.5471,97,119,22.7,success,
155670,WB131183,Ardbeg Supernova Sn 2019 Committee Release,102,121,18.6,success,
155675,WB152163,Arran 24 Years Old 1995 The 1995 Collection Cask Nr.217,99,105,6.1,success,
155676,WB192596,Glenallachie 13 Years Old Madeira Wood Finish,106,113,6.6,success,
155677,WB229805,Glenallachie 13 Years Old Distillery Exclusive,108,115,6.5,success,
155680,WB112999,Springbank 14 Years Old Single Cask Nr.997,97,120,23.7,success,
155681,WB168377,Ardbeg 2011 Cask Nr.2303,116,120,3.4,success,
155683,WB236952,Macallan 30 Years Old Color Collection,105,115,9.5,success,
155685,WB234310,Aberlour A'bunadh Alba Batch 08,115,117,1.7,success,
155688,WB44295,Highland Park Ragnvald The Warrior Series,106,116,9.4,success,
155689,WB214331,Ardbeg 19 Years Old Traigh Bhan Small Batch Release Batch 4,108,119,10.2,success,
155690,WB124501,Clynelish Reserve House Tyrell Game Of Thrones,94,121,28.7,success,
155692,WB158760,Macallan 18 Years Old Sherry Oak 2020 Release,110,110,0.0,success,
155694,WB6984,Springbank 50 Years Old Millennium Bottling Limited Edition,87,116,33.3,success,
155695,WB139,Glenfarclas 21 Years Old,49,104,112.2,success,
155698,WB219192,Alberta Premium Cask Strength Rye 4th Release,102,105,2.9,success,
155699,WB98439,Fuji Gotemba Fuji Sanroku Signature Blend,128,104,-18.8,success,
155701,WB261525,Redbreast 18 Years Old,42,107,154.8,success,
155702,WB73366,Caol Ila 2004 Distillers Edition,103,109,5.8,success,
155704,WB100852,Aberlour A'bunadh Batch 59,86,112,30.2,success,
155705,WB20415,Fuji Gotemba 18 Years Old,129,122,-5.4,success,
155706,WB76466,Knob Creek 9 Years Old Single Barrel Reserve,45,115,155.6,success,
155707,WB229960,Bladnoch 14 Years Old 2023 Release,95,110,15.8,success,
155708,WB259846,Lochlea Harvest Edition Third Crop,46,109,137.0,success,
155710,WB24501,Springbank 15 Years Old 1996 Private Bottling Tara'S Cask Nr.78,108,121,12.0,success,
155712,WB212252,Karuizawa 35 Years Old The Emerald Geisha,86,128,48.8,success,
155714,WB71868,Laphroaig 16 Years Old Limited Edition 35cl,47,120,155.3,success,
155716,WB151437,Chichibu 2013 Cask Nr.2530,99,118,19.2,success,
155718,WB181217,Wild Turkey 13 Years Old Father and Son 1L,110,130,18.2,success,
155721,WB2118,Aberlour A'bunadh Batch 11,98,123,25.5,success,
155727,WB5781,Nikka Yoichi 19 Years Old 1987 Single Cask Warehouse #15 Cask Nr.113200,109,113,3.7,success,
155728,WB111367,Glenallachie 12 Years Old,104,120,15.4,success,
155729,WB255269,Longrow 7 Years Old Red,91,122,34.1,success,
155730,WB211820,Lagavulin 16 Years Old Special Boat Service,108,122,13.0,success,
155731,WB4217,Aberlour 21 Years Old 1971,91,123,35.2,success,
